started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2019-02-01 05:19:12.531000+00:00,2019-02-01 05:26:53.101000+00:00,460,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,5,Solheimsviken, ,60.37711952025095,5.335721728558383
2019-02-01 05:44:00.665000+00:00,2019-02-01 05:46:23.548000+00:00,142,34,Cornerteateret, Ved BI,60.382595986001995,5.325332343545597,157,Høyteknologisenteret,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2019-02-01 05:49:21.629000+00:00,2019-02-01 05:53:31.899000+00:00,250,217,Nykirken,ved kai,60.39723758526031,5.3140013115007605,368,Festplassen,Festplassen,60.391123958982405,5.325713785893413
2019-02-01 05:49:25.434000+00:00,2019-02-01 06:00:43.087000+00:00,677,5,Solheimsviken, ,60.37711952025095,5.335721728558383,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
2019-02-01 05:49:41.576000+00:00,2019-02-01 05:55:24.323000+00:00,342,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,157,Høyteknologisenteret,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2019-02-01 05:50:29.895000+00:00,2019-02-01 05:55:19.697000+00:00,289,83,Bergen jernbanestasjon,ved Bergen Offentlige Bibliotek,60.39032443075989,5.332439659978263,219,Jonsvollkvartalet,Jonsvollsgaten,60.39267683527631,5.317308285189142
2019-02-01 05:53:25.203000+00:00,2019-02-01 05:59:53.872000+00:00,388,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882,157,Høyteknologisenteret,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2019-02-01 05:58:20.019000+00:00,2019-02-01 06:03:06.889000+00:00,286,34,Cornerteateret, Ved BI,60.382595986001995,5.325332343545597,5,Solheimsviken, ,60.37711952025095,5.335721728558383
2019-02-01 06:08:05.121000+00:00,2019-02-01 06:23:58.843000+00:00,953,33,Høgskulen på Vestlandet,ved bybanestopp Inndalsveien,60.369179844976586,5.349443793165847,3,Grieghallen,Ved Strømgaten / Nygårdsgaten,60.38819667374428,5.3285641370894155
2019-02-01 06:08:40.491000+00:00,2019-02-01 06:16:12.634000+00:00,452,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734
2019-02-01 06:08:48.850000+00:00,2019-02-01 06:13:29.246000+00:00,280,215,Nonneseterplass,ved Jernbanestasjonen og Bystasjonen,60.38967202352878,5.3336050852019525,7,Neumannsgate,Ved Konsertpaleet,60.39145484865607,5.31889235970084
2019-02-01 06:10:50.651000+00:00,2019-02-01 06:17:02.372000+00:00,371,217,Nykirken,ved kai,60.39723758526031,5.3140013115007605,83,Bergen jernbanestasjon,ved Bergen Offentlige Bibliotek,60.39032443075989,5.332439659978263
2019-02-01 06:12:47.641000+00:00,2019-02-01 06:23:38.614000+00:00,650,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282
2019-02-01 06:17:47.450000+00:00,2019-02-01 06:22:31.409000+00:00,283,223,Rådhuset,ved Festplassen,60.39168071231371,5.327895003562276,87,ADO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
2019-02-01 06:23:38.267000+00:00,2019-02-01 06:33:37.401000+00:00,599,83,Bergen jernbanestasjon,ved Bergen Offentlige Bibliotek,60.39032443075989,5.332439659978263,221,Sandvikstorget,ved Norges Fiskerimuseum,60.408582102784685,5.322648583141813
2019-02-01 06:24:24.938000+00:00,2019-02-01 06:32:18.763000+00:00,473,301,Lars Hilles,Lars Hilles gate 18,60.388117889090395,5.331487235597251,217,Nykirken,ved kai,60.39723758526031,5.3140013115007605
2019-02-01 06:27:17.111000+00:00,2019-02-01 06:35:44.155000+00:00,507,116,Lysverket,"Gamle Lysverket, ved KODE",60.389542524377724,5.329622268545791,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335
