started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2018-12-01 09:36:15.309000+00:00,2018-12-01 09:40:00.895000+00:00,225,217,Nykirken,ved kai,60.39723758526031,5.3140013115007605,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882
2018-12-01 09:42:40.646000+00:00,2018-12-01 10:02:40.995000+00:00,1200,223,Rådhuset,ved Festplassen,60.39168071231371,5.327895003562276,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734
2018-12-01 09:47:40.460000+00:00,2018-12-01 10:14:55.891000+00:00,1635,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565,7,Neumannsgate,Ved Konsertpaleet,60.39145484865607,5.31889235970084
2018-12-01 09:49:08.995000+00:00,2018-12-01 09:55:03.850000+00:00,354,214,Media City,Nygårdsgaten ved SVV,60.3839343833222,5.333450454511649,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335
2018-12-01 09:50:04.715000+00:00,2018-12-01 09:54:03.771000+00:00,239,214,Media City,Nygårdsgaten ved SVV,60.3839343833222,5.333450454511649,5,Solheimsviken, ,60.37711952025095,5.335721728558383
2018-12-01 09:52:49.772000+00:00,2018-12-01 10:11:27.922000+00:00,1118,34,Cornerteateret, Ved BI,60.382595986001995,5.325332343545597,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734
2018-12-01 09:55:54.603000+00:00,2018-12-01 10:00:12.335000+00:00,257,217,Nykirken,ved kai,60.39723758526031,5.3140013115007605,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
2018-12-01 09:58:39.260000+00:00,2018-12-01 10:15:24.420000+00:00,1005,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882
2018-12-01 10:00:13.944000+00:00,2018-12-01 10:19:31.539000+00:00,1157,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
2018-12-01 10:02:17.760000+00:00,2018-12-01 10:13:43.917000+00:00,686,5,Solheimsviken, ,60.37711952025095,5.335721728558383,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
2018-12-01 10:07:58.077000+00:00,2018-12-01 10:29:50.536000+00:00,1312,217,Nykirken,ved kai,60.39723758526031,5.3140013115007605,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282
2018-12-01 10:15:24.093000+00:00,2018-12-01 10:16:32.940000+00:00,68,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335
2018-12-01 10:17:06.374000+00:00,2018-12-01 10:22:47.635000+00:00,341,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,5,Solheimsviken, ,60.37711952025095,5.335721728558383
2018-12-01 10:19:07.189000+00:00,2018-12-01 10:23:01.748000+00:00,234,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565,83,Bergen jernbanestasjon,ved Bergen Offentlige Bibliotek,60.39032443075989,5.332439659978263
2018-12-01 10:22:13.012000+00:00,2018-12-01 10:24:31.079000+00:00,138,214,Media City,Nygårdsgaten ved SVV,60.3839343833222,5.333450454511649,34,Cornerteateret, Ved BI,60.382595986001995,5.325332343545597
2018-12-01 10:24:08.682000+00:00,2018-12-01 10:37:43.030000+00:00,814,217,Nykirken,ved kai,60.39723758526031,5.3140013115007605,34,Cornerteateret, Ved BI,60.382595986001995,5.325332343545597
2018-12-01 10:24:59.216000+00:00,2018-12-01 10:30:14.093000+00:00,314,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282,219,Jonsvollkvartalet,Jonsvollsgaten,60.39267683527631,5.317308285189142
2018-12-01 10:29:08.131000+00:00,2018-12-01 10:32:36.765000+00:00,208,34,Cornerteateret, Ved BI,60.382595986001995,5.325332343545597,214,Media City,Nygårdsgaten ved SVV,60.3839343833222,5.333450454511649
2018-12-01 10:31:29.662000+00:00,2018-12-01 10:35:21.606000+00:00,231,5,Solheimsviken, ,60.37711952025095,5.335721728558383,157,Høyteknologisenteret,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2018-12-01 10:32:30.216000+00:00,2018-12-01 10:35:30.043000+00:00,179,212,Klosteret,Strandehagen,60.395137943082446,5.314946630388022,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282
2018-12-01 10:40:37.481000+00:00,2018-12-01 10:45:53.267000+00:00,315,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.378024641518735,5.350818157212416,157,Høyteknologisenteret,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2018-12-01 10:41:48.198000+00:00,2018-12-01 10:50:02.423000+00:00,494,215,Nonneseterplass,ved Jernbanestasjonen og Bystasjonen,60.38967202352878,5.3336050852019525,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335
2018-12-01 10:43:18.886000+00:00,2018-12-01 10:53:24.816000+00:00,605,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,156,Allehelgens plass,ved Politihuset,60.39265146337743,5.328976911981613
2018-12-01 10:45:33.854000+00:00,2018-12-01 10:47:38.757000+00:00,124,34,Cornerteateret, Ved BI,60.382595986001995,5.325332343545597,157,Høyteknologisenteret,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2018-12-01 10:47:07.266000+00:00,2018-12-01 10:57:25.946000+00:00,618,212,Klosteret,Strandehagen,60.395137943082446,5.314946630388022,221,Sandvikstorget,ved Norges Fiskerimuseum,60.408582102784685,5.322648583141813
2018-12-01 10:54:31.907000+00:00,2018-12-01 11:00:49.068000+00:00,377,216,Johanneskirken,på Sydnesplassen,60.38853002489311,5.318665231464365,157,Høyteknologisenteret,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2018-12-01 10:54:37.824000+00:00,2018-12-01 10:58:06.389000+00:00,208,212,Klosteret,Strandehagen,60.395137943082446,5.314946630388022,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882
2018-12-01 10:57:31.204000+00:00,2018-12-01 11:03:28.538000+00:00,357,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565,214,Media City,Nygårdsgaten ved SVV,60.3839343833222,5.333450454511649
2018-12-01 10:59:37.519000+00:00,2018-12-01 11:03:20.598000+00:00,223,34,Cornerteateret, Ved BI,60.382595986001995,5.325332343545597,214,Media City,Nygårdsgaten ved SVV,60.3839343833222,5.333450454511649
2018-12-01 11:09:41.599000+00:00,2018-12-01 11:13:13.866000+00:00,212,212,Klosteret,Strandehagen,60.395137943082446,5.314946630388022,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282
2018-12-01 11:17:00.450000+00:00,2018-12-01 11:32:00.564000+00:00,900,83,Bergen jernbanestasjon,ved Bergen Offentlige Bibliotek,60.39032443075989,5.332439659978263,217,Nykirken,ved kai,60.39723758526031,5.3140013115007605
2018-12-01 11:21:19.840000+00:00,2018-12-01 11:30:29.477000+00:00,549,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734,49,Studentsenteret UIB,ved Parkveien / Olaf Ryes vei,60.38719801795013,5.322980046239536
2018-12-01 11:21:26.170000+00:00,2018-12-01 11:31:21.361000+00:00,595,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,223,Rådhuset,ved Festplassen,60.39168071231371,5.327895003562276
2018-12-01 11:22:14.612000+00:00,2018-12-01 11:27:52.494000+00:00,337,157,Høyteknologisenteret,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,3,Grieghallen,Ved Strømgaten / Nygårdsgaten,60.38819667374428,5.3285641370894155
2018-12-01 11:22:29.236000+00:00,2018-12-01 11:27:45.457000+00:00,316,157,Høyteknologisenteret,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,3,Grieghallen,Ved Strømgaten / Nygårdsgaten,60.38819667374428,5.3285641370894155
2018-12-01 11:28:52.717000+00:00,2018-12-01 11:35:09.660000+00:00,376,216,Johanneskirken,på Sydnesplassen,60.38853002489311,5.318665231464365,83,Bergen jernbanestasjon,ved Bergen Offentlige Bibliotek,60.39032443075989,5.332439659978263
2018-12-01 11:29:05.745000+00:00,2018-12-01 11:35:11.182000+00:00,365,216,Johanneskirken,på Sydnesplassen,60.38853002489311,5.318665231464365,83,Bergen jernbanestasjon,ved Bergen Offentlige Bibliotek,60.39032443075989,5.332439659978263
2018-12-01 11:30:35.558000+00:00,2018-12-01 11:36:11.022000+00:00,335,49,Studentsenteret UIB,ved Parkveien / Olaf Ryes vei,60.38719801795013,5.322980046239536,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
2018-12-01 11:31:21.018000+00:00,2018-12-01 11:39:49.364000+00:00,508,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282
2018-12-01 11:37:13.924000+00:00,2018-12-01 11:40:54.580000+00:00,220,214,Media City,Nygårdsgaten ved SVV,60.3839343833222,5.333450454511649,5,Solheimsviken, ,60.37711952025095,5.335721728558383
